                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.73606,                0.47812,                0.86453,                0.72154,                 0.5164,                0.59332,                0.40319,                 1.0267,                0.66316,                0.96785,             0.00083341,             0.00083341,             0.00083341
                     87,                 0.7426,                0.48446,                0.86035,                0.73119,                0.50333,                0.59539,                0.40245,                 1.0053,                0.65331,                 0.9552,             0.00083251,             0.00083251,             0.00083251
                     88,                0.72363,                 0.4802,                0.86664,                0.71603,                0.56625,                0.56999,                0.38143,                 1.0096,                0.65027,                0.95232,             0.00083161,             0.00083161,             0.00083161
                     89,                0.73606,                0.47317,                 0.8599,                0.72439,                0.54286,                0.55901,                0.36962,                 1.0502,                0.67035,                0.96277,             0.00083071,             0.00083071,             0.00083071
                     90,                0.73191,                 0.4659,                0.85798,                0.73318,                0.54454,                0.60795,                0.42351,                 1.0216,                0.63644,                 0.9648,             0.00082981,             0.00082981,             0.00082981
                     91,                 0.7279,                0.46302,                0.85624,                 0.7235,                0.50978,                 0.5819,                0.40186,                 1.0231,                0.66843,                0.96601,             0.00082891,             0.00082891,             0.00082891
                     92,                0.71409,                0.45689,                 0.8538,                0.47893,                0.51053,                0.51166,                0.32729,                 1.0159,                0.65463,                0.96392,             0.00082801,             0.00082801,             0.00082801
                     93,                0.72169,                0.46683,                0.85467,                0.66222,                0.50418,                0.54646,                0.35151,                 1.0231,                0.65439,                0.96361,             0.00082711,             0.00082711,             0.00082711
                     94,                 0.7343,                0.46936,                0.86583,                 0.6829,                0.54099,                0.55052,                0.37275,                  1.014,                0.63412,                0.96261,             0.00082621,             0.00082621,             0.00082621
                     95,                0.72627,                0.45709,                0.85091,                0.62224,                0.48139,                 0.5255,                0.35492,                 1.0038,                0.63825,                0.95954,             0.00082531,             0.00082531,             0.00082531
                     96,                 0.7354,                0.46457,                0.86356,                0.72074,                0.54641,                0.57027,                0.37425,                 1.0273,                0.67912,                0.95938,             0.00082441,             0.00082441,             0.00082441
                     97,                0.71721,                0.46449,                0.86056,                0.54748,                0.55368,                0.54837,                0.38667,                 1.0091,                0.66711,                0.95463,             0.00082351,             0.00082351,             0.00082351
                     98,                0.70649,                0.45126,                0.85459,                0.61889,                  0.449,                0.50953,                0.34636,                 1.0127,                0.64918,                0.96156,             0.00082261,             0.00082261,             0.00082261
                     99,                0.70543,                0.44771,                0.85091,                0.77116,                0.49067,                 0.5742,                 0.3777,                 1.0141,                0.67111,                0.95555,             0.00082171,             0.00082171,             0.00082171
                    100,                0.71717,                0.46152,                0.85662,                0.59972,                0.57921,                0.57633,                 0.3833,                 1.0083,                0.65399,                0.96469,             0.00082081,             0.00082081,             0.00082081
